,Rank,Name,Team,Cl,Height,Position,G,FGM,FT,PTS,division
0,1,Isiaih Mosley,Missouri St.,Jr.,6-5,G,22,171,77,469,division1
1,2,Malachi Smith,Chattanooga,So.,6-4,G,21,156,97,452,division1
2,3,Darius McGhee,Liberty,Sr.,5-9,G,19,148,62,437,division1
3,4,Antonio Reeves,Illinois St.,Jr.,6-6,G,21,154,69,431,division1
4,5,Max Abmas,Oral Roberts,Jr.,6-0,G,19,142,69,430,division1
5,6,Alondes Williams,Wake Forest,Sr.,6-5,G,21,159,82,428,division1
6,7,Savion Flagg,Sam Houston,Sr.,6-7,G,21,156,51,420,division1
7,8,Tanner Holden,Wright St.,Jr.,6-6,G,20,141,122,413,division1
8,9,Keegan Murray,Iowa,So.,6-8,F,18,157,69,411,division1
9,10,Ochai Agbaji,Kansas,Sr.,6-5,G,19,149,45,405,division1
10,11,Dereon Seabron,NC State,So.,6-7,G,21,151,90,400,division1
11,12,Ryan Rollins,Toledo,So.,6-4,G,20,140,88,399,division1
12,13,Jake Stephens,VMI,Sr.,6-8,C,21,138,75,396,division1
13,14,Bryce Hamilton,UNLV,Sr.,6-4,G,20,143,67,395,division1
14,15,Taevion Kinsey,Marshall,Sr.,6-5,G,19,145,94,395,division1
15,16,John-Michael Wright,High Point,Jr.,6-1,G,20,128,91,393,division1
16,17,Kendric Davis,SMU,Sr.,5-11,G,19,116,110,391,division1
17,18,Antoine Davis,Detroit Mercy,Sr.,6-1,G,16,133,55,390,division1
18,19,Cam Spencer,Loyola Maryland,Jr.,6-4,G,20,141,67,387,division1
19,20,Buddy Boeheim,Syracuse,Sr.,6-6,G,20,127,74,378,division1
20,21,Tavian Dunn-Martin,FGCU,Sr.,5-8,G,19,113,87,372,division1
21,22,Justin Bean,Utah St.,Sr.,6-7,F,20,142,63,370,division1
22,23,Trayce Jackson-Davis,Indiana,Jr.,6-9,F,20,142,84,368,division1
23,24,Fardaws Aimaq,Utah Valley,So.,6-11,C,19,134,90,366,division1
24,25,Adrian Delph,App State,Sr.,6-3,G,21,129,46,366,division1
25,26,Kamdyn Curfman,VMI,Jr.,6-0,G,21,126,33,365,division1
26,27,Orlando Robinson,Fresno St.,Jr.,7-0,F,19,131,84,365,division1
27,28,Javante McCoy,Boston U.,Sr.,6-5,G,22,141,38,363,division1
28,29,M.J. Randolph,Florida A M,Sr.,6-4,G,18,134,82,361,division1
29,30,Andrew Funk,Bucknell,Sr.,6-5,G,21,135,37,360,division1
30,31,JD Notae,Arkansas,Sr.,6-2,G,19,133,51,360,division1
31,32,Jamal Cain,Oakland,Sr.,6-7,F,18,135,68,359,division1
32,33,Jamaree Bouyea,San Francisco,Sr.,6-2,G,20,134,43,358,division1
33,34,Hayden Brown,The Citadel,Sr.,6-6,F,19,129,77,357,division1
34,35,Rayshon Harrison,Presbyterian,So.,6-4,G,21,115,90,357,division1
35,36,Kameron McGusty,Miami (FL),Sr.,6-5,G,20,119,89,357,division1
36,37,Terrell Brown Jr.,Washington,Sr.,6-3,G,17,130,88,356,division1
37,38,Johnny Davis,Wisconsin,So.,6-5,G,16,124,81,356,division1
38,39,"Jamal Mashburn, Jr.",New Mexico,So.,6-2,G,20,128,66,356,division1
